orgname,depart_time,duration,arrival,amount,rating,seat,bustype,route_link
Nani Svkdt Travels,23:20,06h 06m,05:26,870.0,3.0,30,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Go Tour Travels and Holidays,23:55,06h 05m,06:00,780.0,3.0,24,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Mythri Tours And Travels,01:00,05h 40m,06:40,819.0,4.0,17,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
KKaveri Travels,23:00,06h 45m,05:45,600.0,3.0,32,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Shyamoli Paribahan Pvt Ltd,23:40,06h 25m,06:05,399.0,4.0,31,Scania Multi-Axle AC Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Eswar Travels,22:55,06h 55m,05:50,600.0,3.0,20,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
IntrCity SmartBus,01:35,05h 30m,07:05,977.0,4.0,16,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,23:00,06h 30m,05:30,800.0,2.0,25,Bharat Benz A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
AVR Travels,23:00,06h 45m,05:45,449.0,2.0,26,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
IntrCity SmartBus,01:05,05h 30m,06:35,350.0,3.0,21,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Nani’s Sai Krishna Travels,22:40,06h 55m,05:35,740.0,3.0,10,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,00:45,06h 15m,07:00,900.0,3.0,19,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sai Srinivasa Travels,22:05,06h 55m,05:00,510.0,4.0,27,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Mayuri Travels,23:55,06h 45m,06:40,999.0,3.0,30,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sai Srinivasa Travels,22:35,07h 10m,05:45,780.0,3.0,21,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Zingbus Plus,23:55,06h 55m,06:50,596.0,4.0,32,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
GO BUS,23:20,06h 50m,06:10,523.0,4.0,28,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
V Kaveri Travels,22:45,06h 15m,05:00,660.0,3.0,38,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,23:30,06h 30m,06:00,870.0,2.0,18,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Morning Star Travels,22:30,07h 30m,06:00,690.0,2.0,16,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Morning Star Travels,23:30,06h 10m,05:40,690.0,2.0,23,NON A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri Venkata Padmavathi Travels,23:20,07h 00m,06:20,680.0,3.0,25,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Komali Travels,00:29,06h 31m,07:00,670.0,4.0,20,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri KVR Travels,23:55,06h 30m,06:25,550.0,3.0,32,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Mayuri Travels,23:55,05h 05m,05:00,670.0,3.0,28,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Prasanna Travels,23:15,06h 10m,05:25,500.0,2.0,26,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
YNR Travels,16:15,06h 05m,22:20,3800.0,4.0,29,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Morning Star Travels,22:15,07h 00m,05:15,890.0,2.0,30,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Svkdt travels,02:10,05h 00m,07:10,955.0,3.0,24,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vikram Travels,03:45,05h 16m,09:01,500.0,4.0,30,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sai Dasari Travels,22:59,07h 11m,06:10,650.0,4.0,31,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri KVR Travels,00:25,06h 30m,06:55,550.0,3.0,18,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
BSR Tours And Travels,23:59,07h 11m,07:10,780.0,3.0,22,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Moonlight Travels,23:00,07h 05m,06:05,550.0,2.0,21,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri KVR Travels,22:50,07h 35m,06:25,610.0,3.0,24,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,00:30,06h 50m,07:20,400.0,2.0,29,NON A/C Seater/ Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sai Sri Krishna Travels,00:25,06h 05m,06:30,650.0,2.0,18,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
